"X" "Y"
"1" -43.9392318181818 -20.8909987878788
"2" -43.8999536363636 -20.8909987878788
"3" -43.8606754545455 -20.8909987878788
"4" -43.97851 -20.8484063636364
"5" -43.9392318181818 -20.8484063636364
"6" -43.8999536363636 -20.8484063636364
"7" -43.8606754545455 -20.8484063636364
"8" -43.8213972727273 -20.8484063636364
"9" -43.7821190909091 -20.8484063636364
"10" -43.6250063636364 -20.8484063636364
"11" -44.0177881818182 -20.8058139393939
"12" -43.97851 -20.8058139393939
"13" -43.9392318181818 -20.8058139393939
"14" -43.8999536363636 -20.8058139393939
"15" -43.8606754545455 -20.8058139393939
"16" -43.8213972727273 -20.8058139393939
"17" -43.7821190909091 -20.8058139393939
"18" -43.7428409090909 -20.8058139393939
"19" -43.7035627272727 -20.8058139393939
"20" -43.6642845454545 -20.8058139393939
"21" -43.6250063636364 -20.8058139393939
"22" -43.5857281818182 -20.8058139393939
"23" -44.0963445454545 -20.7632215151515
"24" -44.0570663636364 -20.7632215151515
"25" -44.0177881818182 -20.7632215151515
"26" -43.97851 -20.7632215151515
"27" -43.9392318181818 -20.7632215151515
"28" -43.8999536363636 -20.7632215151515
"29" -43.8606754545455 -20.7632215151515
"30" -43.8213972727273 -20.7632215151515
"31" -43.7821190909091 -20.7632215151515
"32" -43.7428409090909 -20.7632215151515
"33" -43.7035627272727 -20.7632215151515
"34" -43.6642845454545 -20.7632215151515
"35" -43.6250063636364 -20.7632215151515
"36" -43.5857281818182 -20.7632215151515
"37" -43.54645 -20.7632215151515
"38" -44.3712918181818 -20.7206290909091
"39" -44.2927354545455 -20.7206290909091
"40" -44.2141790909091 -20.7206290909091
"41" -44.1749009090909 -20.7206290909091
"42" -44.1356227272727 -20.7206290909091
"43" -44.0963445454545 -20.7206290909091
"44" -44.0570663636364 -20.7206290909091
"45" -44.0177881818182 -20.7206290909091
"46" -43.97851 -20.7206290909091
"47" -43.9392318181818 -20.7206290909091
"48" -43.8999536363636 -20.7206290909091
"49" -43.8606754545455 -20.7206290909091
"50" -43.8213972727273 -20.7206290909091
"51" -43.7821190909091 -20.7206290909091
"52" -43.7428409090909 -20.7206290909091
"53" -43.7035627272727 -20.7206290909091
"54" -43.6642845454545 -20.7206290909091
"55" -43.6250063636364 -20.7206290909091
"56" -43.5857281818182 -20.7206290909091
"57" -43.54645 -20.7206290909091
"58" -43.5071718181818 -20.7206290909091
"59" -43.4678936363636 -20.7206290909091
"60" -44.3712918181818 -20.6780366666667
"61" -44.3320136363636 -20.6780366666667
"62" -44.2927354545455 -20.6780366666667
"63" -44.2534572727273 -20.6780366666667
"64" -44.2141790909091 -20.6780366666667
"65" -44.1749009090909 -20.6780366666667
"66" -44.1356227272727 -20.6780366666667
"67" -44.0963445454545 -20.6780366666667
